cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1011,1024,4096,ck,18,0,21.0243,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,403.38,494.95,0.0
256,1012,1024,4096,ck,18,0,20.9559,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,405.1,496.85,0.0
256,1013,1024,4096,ck,18,0,21.1988,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,400.86,491.45,0.0
256,1014,1024,4096,ck,18,0,20.9964,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,405.12,496.48,0.0
256,1015,1024,4096,ck,18,0,20.8921,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,407.54,499.25,0.0
256,1016,1024,4096,ck,18,0,20.8347,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,409.07,500.92,0.0
256,1017,1024,4096,ck,18,0,20.8942,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,408.31,499.79,0.0
256,1018,1024,4096,ck,18,0,20.9772,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,407.09,498.11,0.0
256,1019,1024,4096,ck,18,0,20.8392,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,410.19,501.7,0.0
256,1020,1024,4096,ck,18,0,21.0527,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,406.43,496.9,0.0
256,1021,1024,4096,ck,18,0,21.1884,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,404.22,494.01,0.0
256,1022,1024,4096,ck,18,0,20.9482,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,409.26,499.97,0.0
256,1023,1024,4096,ck,18,0,20.819,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,412.2,503.37,0.0
256,1024,1024,4096,ck,18,0,16.8185,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,510.74,623.47,0.0
256,1643,1024,4096,ck,2,0,26.0774,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,528.52,547.94,0.0
256,1697,1024,4096,ck,2,0,26.4956,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,537.28,551.82,0.0
256,1700,1024,4096,ck,2,0,26.5206,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,537.72,551.99,0.0
256,1708,1024,4096,ck,2,0,26.3273,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,544.22,557.91,0.0
256,1717,1024,4096,ck,2,0,26.5018,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,543.48,556.32,0.0
256,1725,1024,4096,ck,2,0,26.4864,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,546.33,558.5,0.0
256,1734,1024,4096,ck,2,0,26.3278,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,552.49,563.97,0.0
