gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,320,4096,6144,ck,1,0,56.4617,a8w8_blockscale_1x128x128_256x128x64x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,285.26,526.97,0.0
gfx942,304,336,4096,6144,ck,2,0,49.762,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,339.85,602.52,0.0
gfx942,304,352,4096,6144,ck,2,0,52.0494,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,340.38,580.45,0.0
gfx942,304,368,4096,6144,ck,2,0,55.3765,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,334.47,549.72,0.0
gfx942,304,384,4096,6144,ck,3,0,56.9548,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,339.35,538.51,0.0
gfx942,304,400,4096,6144,ck,2,0,51.1763,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,393.4,603.8,0.0
gfx942,304,416,4096,6144,ck,2,0,53.7528,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,389.52,579.13,0.0
gfx942,304,432,4096,6144,ck,2,0,55.9197,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,388.83,560.79,0.0
gfx942,304,448,4096,6144,ck,3,0,57.2115,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,394.13,552.13,0.0
gfx942,304,464,4096,6144,ck,2,0,52.6742,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,443.36,604.05,0.0
gfx942,304,480,4096,6144,ck,2,0,56.5365,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,427.32,566.84,0.0
gfx942,304,496,4096,6144,ck,2,0,57.4862,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,434.27,561.46,0.0
gfx942,304,512,4096,6144,ck,3,0,59.5537,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,432.72,545.82,0.0
gfx942,304,588,4096,6144,ck,0,0,71.9381,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,411.4,467.0,0.0
gfx942,304,664,4096,6144,ck,0,0,72.783,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,459.18,476.55,0.0
